Test No.,models,RMSE,MAE,MSE,RMSE_avg,MAE_avg,MSE_avg
1,variance_fastcharge_basemodel,109.83465576171876,88.80694580078125,12063.65234375,107.23016510009765,87.70382690429688,11504.4775390625
2,variance_fastcharge_basemodel,105.05953216552734,86.49048614501953,11037.5048828125,107.23016510009765,87.70382690429688,11504.4775390625
3,variance_fastcharge_basemodel,104.67901611328124,87.842041015625,10957.6962890625,107.23016510009765,87.70382690429688,11504.4775390625
4,variance_fastcharge_basemodel,105.98662567138672,86.08535766601562,11233.1650390625,107.23016510009765,87.70382690429688,11504.4775390625
5,variance_fastcharge_basemodel,110.59099578857422,89.29430389404297,12230.369140625,107.23016510009765,87.70382690429688,11504.4775390625
1,variance_normalcharge_basemodel,104.63040924072266,73.54057312011719,10947.5224609375,104.2452896118164,74.31677551269532,10867.1423828125
2,variance_normalcharge_basemodel,104.086181640625,75.37186431884766,10833.9326171875,104.2452896118164,74.31677551269532,10867.1423828125
3,variance_normalcharge_basemodel,104.3067626953125,73.80427551269531,10879.900390625,104.2452896118164,74.31677551269532,10867.1423828125
4,variance_normalcharge_basemodel,103.88678741455078,73.87940979003906,10792.4638671875,104.2452896118164,74.31677551269532,10867.1423828125
5,variance_normalcharge_basemodel,104.3163070678711,74.98775482177734,10881.892578125,104.2452896118164,74.31677551269532,10867.1423828125
1,variance_normalcharge_transfermodel,233.4972381591797,169.04933166503906,54520.95703125,172.36562957763672,120.26756896972657,32634.641015625
2,variance_normalcharge_transfermodel,133.83755493164062,89.33072662353516,17912.490234375,172.36562957763672,120.26756896972657,32634.641015625
3,variance_normalcharge_transfermodel,98.06291961669922,65.94315338134766,9616.3359375,172.36562957763672,120.26756896972657,32634.641015625
4,variance_normalcharge_transfermodel,162.5439453125,107.82862854003906,26420.53515625,172.36562957763672,120.26756896972657,32634.641015625
5,variance_normalcharge_transfermodel,233.8864898681641,169.18600463867188,54702.88671875,172.36562957763672,120.26756896972657,32634.641015625
