models,RMSE_avg,MAE_avg,MSE_avg
variance_fastcharge_basemodel_64u,110.3929214477539,88.73396148681641,12187.1087890625
variance_fastcharge_basemodel_16u,107.23016510009764,87.70382690429688,11504.4775390625
variance_fastcharge_basemodel_1u,104.4029327392578,86.35946197509766,10909.123046875
variance_normalcharge_basemodel_64u,103.1373764038086,73.31922607421875,10637.32265625
variance_normalcharge_basemodel_16u,104.2452896118164,74.31677551269532,10867.1423828125
variance_normalcharge_basemodel_1u,102.9773956298828,78.63689727783203,10884.45810546875
variance_normalcharge_transfermodel_64u,222.00035705566407,162.71583251953126,49622.88671875
variance_normalcharge_transfermodel_16u,172.36562957763672,120.26756896972655,32634.641015625
variance_normalcharge_transfermodel_1u,124.2703353881836,98.9548568725586,16071.3021484375
